ABTV;Abteilungsvorstand
AINF;Angew. Informatik
AM;ANGEW. MATHEMATIK
AMx;ANGEW. MATHEMATIK
AMy;ANGEW. MATHEMATIK
AMz;ANGEW. MATHEMATIK
AP4;Atelier und Produktion
APT1;Anlagen- und Prüftechnik
AW5A;ATELIER U. WERKST.
BADV;BETR.ANWENDUNGEN
BADVx;Betriebl. Anw. d. Datenverarb.
BADVy;Betriebl. Anw. d. Datenverarb.
BAP;Wahlpflichtgegenstand Business Applications
BEHB;Gehörlosenunterstützung
BESP;Bewegung und Sport
BESPK;Bewegung und Sport
BET;Betriebstechnik
BET2;Betriebstechnik
BETP_2;Betriebstechnik und Projekte
BETP_2x;Betriebstechnik und Projekte x-Gruppe
BETP_2y;Betriebstechnik und Projekte y-Gruppe
BIB;BILDUNGSBER.ZUS.T.
BIST;Bildungsstandards
BMG2;Biologie, Medizin und Gesundheitswesen
BMSV;Biomedizinische Signalverarbeitung
BMSVx;Biomedizinische Signalverarbeitung, x-Gruppe
BMSVy;Biomedizinische Signalverarbeitung, y-Gruppe
BOW;Biologie, Ökologie und Warenlehre
BSPK;Bewegung und Sport - Knaben
BSPKx;Bewegung und Sport - Knaben X-Gruppe
BSPKy;Bewegung und Sport - Knaben Y-Gruppe
BSPM;Bewegung und Sport - Mädchen
BWM;Betriebswirtschaft und Management
BWM1;Betriebswirtschaft und Management
BWM2;Betriebswirtschaft und Management
BWM3;Betriebswirtschaft und Management
COPR;Computerpraktikum
COPRx;Computerpraktikum
COPRy;Computerpraktikum
COPRz;Computerpraktikum
D;DEUTSCH
DAKO;DARSTELLUNG UND KOMPOSITION
DAT;Darstellungstechniken
DBI;Kein Langname definiert!
DBI1;Datenbank- und Informationssysteme
DBI1x;Datenbank- und Informationssysteme x-Gruppe
DBI1y;Datenbank- und Informationssysteme y-Gruppe
DBI2x;Datenbank- und Informationssysteme  x-Gruppe
DBI2y;Datenbank- und Informationssysteme y-Gruppe
DEGM;DESSINATUR-GEWEBE-U.MASCHENTECHNIK
DESD;DESSINATUR-DRUCKTECHNIK
DEST;DESIGNTHEORIE
DIR;ENTLASTUNGSSTUNDEN - Direktor
DIWE;Digitale Werkzeuge
DKO2;DESIGN UND KOMMUNIKATION
DKO2x;Design und Kommunikation
DKO2y;Design und Kommunikation
DUK;DEUTSCH U. KOMM.
DUKx;Deutsch u. Komm.
DUKy;Deutsch u. Komm.
Dx;Deutschgruppe x
Dy;Deutschgruppe y
Dz;Deutschgruppe z
E1;ENGLISCH
E1x;ENGLISCH GRUPPE X
E1y;ENGLISCH GRUPPE Y
EKPR;ENTWURFSKRITIK-PRODUKTQUALITÄT
EPR1;ENTWURFSPROJEKT
EW1;ENTWURF
EWD;Entwurf und Design
FAA;Freifach Anwendung Algorithmen
FBESP;Freifach Bewegung und Sport - Volleyball
FBSSE;Freifach Sport und Ernährung
FBSSV;Freifach MAGA
FCAS;Freifach Anwendung von Computeralgebrasystemen
FDAZ;Freifach Deutsch als Fremd- & Zweitsprache
FELUE;Freigegenstand Angewandte Elektronik
FEMIK;Freifach Licht- u. Elektr. Mikro
FEP;Freifach English Perfectionist
FEPx;Freifach English Perfectionist
FEPy;Freifach English Perfectionist
FHBF;Freifach Hochbegabtenförderung
FKK;Freifach Kunst und kulturelles Geschehen in Wien
FLAT;Freigegenstand Latein
FMANM;Freigegenstand Management
FMGTK;Freigegenstand Medizinaufnahmetest
FMINT;Freigegenstand MINT
FMT;Freifach Microsoft Technology
FPOS;Freigegenstand POS Coding Contest
FPRE;Freifach Vorbereitung zur Projektmanagementzertifizierung
FPSY;Freigegenstand Psychologie
FRAP;Freifach Raspberry Projekte
FSM;Fachspezifische Mathematik
FTHE3;Freifach Theater
FWD;Freigegenstand Web Development
FWEK;Freigegenstand Modellieren mit Ton
FWING;Freifach Wing Future 4.0
GAD;Wahlpflichtgegenstand Game Development
GGP;Geographie, Geschichte und politische Bildung
GGPB;Geografie, Geschichte und pol. Bildung
GINF;GRUNDLAGEN DER INF
GOM2;Organisation im Gesundheitswesen
GOM3;Gesundheitsökonomie und Management
GUG;Geschichte und Geographie
ILB;Individuelle Lernbegleitung
INF1x;Informatik und Informationssysteme
INF1y;Informatik und Informationssysteme
INF1z;Informatik und Informationssysteme
INFIx;Informatik und Informationssysteme X-Gruppe
INFIy;Informatik und Informationssysteme Y-Grppe
INSY;Informationssysteme
INSYx;Informationssysteme x-Gruppe
INSYy;Informationssysteme y-Gruppe
IOT;Wahlpflichtgegenstand Internet of Things
ITP2;Informationstechnologie Projekte
ITPR;IT-Praktikum FS
KGKP;Kunstgeschichte und Kulturphilosophie
KLS;Kommunikation und Lernstrategien
KOM2;Kommunikation
KPRA;KOMMUNIKATION & PRÄSENTATIONSTECHNIK (LVG 2)
KUST_2;KUST FACHTH. UNT.
KWI;Kreativwirtschaft
LA1;LABORATORIUM
LQPM;LandesqualitätsprozessmanagerIn
M2;Mathematik
MDSG;MEDIEN-DESIGN / KD-Kolleg Abend
MED2;Medientechnik
MED2x;Medientechnik x-Gruppe
MED2y;Medientechnik y-Gruppe
MEDT;MEDIENTECHNIK (LVG 1)
MEDTx;Medientechnik x-Gruppe
MEDTy;Medientechnik y-Gruppe
MEP_3;Medienproduktion 3 - 2013 - 2018
MET1;Maschinen- und Elektrotechnik
MET1x;Maschinen- und Elektrotechnik
MET1y;Maschinen- und Elektrotechnik
METy;Kein Langname definiert!
MGAN;Mediengestaltung - Animation
MGG;Mediengestaltung
MGGD;Mediengestaltung - Gamedesign
MGIN;Medizin- und Gesundheitsinformatik
MGINx;Medizin- und Gesundheitsinformatik x-Gruppe
MGINy;Medizin- und Gesundheitsinformatik y-Gruppe
MGT;Medizinische Gerätetechnik
MIS;Medizinische Informationssysteme
MISx;Medizinische Informationssysteme, x-Gruppe
MISy;Medizinische Informationssysteme, y-Gruppe
MP3;Medienprojekte (LP 2013-2018)
MPAN;Medienproduktion - Animation
MPGD;Medienproduktion - Gamedesign
MPJ;Medienprojekt
MSRT;MESS-STEUR.-REGEL
MTAI;Medientechnologie - Animation und Angewandte Informatik
MTGI;Medientechnologie - Gamedesign und Angewandte Informatik
MTIN;Medientechnologie und angewandte Informatik
MTKG;Medientheorie und Kunstgeschichte
MUL1;MULTIMEDIA
MUW;Marketing und Werbung
MWI2;Medienwirtschaft 
NBU;NL Bibliothek
NCAD;NL CAD
NDVA;NL Datenverarbeitungsanlagen
NEBL_2;Nebenleistungen
NNBMG2;Kein Langname definiert!
NNSYP;Kein Langname definiert!
NVS1;Netzwerk- und verteilte Systeme
NVS1x;Netzwerk- und verteilte Systeme x-Gruppe
NVS1y;Netzwerk- und verteilte Systeme y-Gruppe
NW2;Naturwissenschaften
NWG;Naturwissenschaftl. Grundlagen
NWG2;Naturwissenschaftliche Grundlagen
NWT1;Netzwerktechnik
NWTE;Netzwerktechnik
NWT_1x;Netzwerktechnik x-Gruppe
NWT_1y;Netzwerktechnik y-Gruppe
NWT_4A;Netzwerktechnik - Computerpraktikum
OPS;Wahlpflichtgegenstand Operations and Services
ORD;ORDINARIAT
P93;Einzelne Einrechnung
P93E;Kustodiatspool IT/EDV - WE
PMM;Prozessmanagement
PMMx;Kein Langname definiert!
PMMy;Kein Langname definiert!
POS1;Programmieren und Softwareengineering
POS1x;Programmieren und Softwareengineering x-Gruppe
POS1y;Programmieren und Softwareengineeriing y-Gruppe
POS1z;Programmieren und Softwareengineering z-Gruppe
PRE;Systemplanung und Projektentwicklung
PRMN;Produktmanagement
PRMNx;Kein Langname definiert!
PRMNy;Kein Langname definiert!
PSB;Persönlichkeitsbildung
QBT;qualifizierte Beratungstätigkeit
RE;RELIGION EVANG
RISL;RELIGION ISLAM.
RK;RELIGION KATH.
RO;RELIGION ORTHODOX
RWDV;Kein Langname definiert!
S;Sprechstunde
SB;Supplierbereitschaft
SB1;Supplierbereitschaft
SICH;Sicherheitstechniker
SKOC;Studienkoordinator
SKPH;STILKUNDE U. KULTURPHILOSOPHIE
SOPK;Sozial- und Personalkompetenz
SQPM;SchulqualitätsprozessmanagerIn
STK;STILKUNDE
SYT;Systemtechnik
SYTCP_4A;Systemtechnik - Computerpraktikum
SYTx;Systemtechnik x-Gruppe
SYTy;Systemtechnik y-Gruppe
TE1;Technologie
TEIN;Technologie und Angewandte Informatik
TEKO;TELEKOMMUNIKATION
TEPH;Technologie und Phänomenologie
TICP4A;Techn.Informatik und Computerpraktikum
TINF_1;Techn. Informatik und Computerpraktikum
TINFx;Technische Informatik und Computerpraktikum
TINFy;Technische Informatik und Computerpraktikum
TMEN;TECHNOLOGIE DER MEDIEN / KD-Kolleg Abend
TYPE;TYPOGRAF.ENTWURF
UFW1;Unternehmensführung und Wirtschaftsrecht
UFW2;Unternehmensführung und Wirtschaftsrecht
UFW_2;Unternehmensführung und Wirtschaftsrecht
UNF;Unternehmensführung
VAJF;Joure Fixe VA
WEPT;Werkstätte und Produktionstechnik
WIR3;WIRTSCHAFT U.RECHT
WIRE;Wirtschaft und Recht - 2
WPT_3;Werkstätte und Produktionstechnik
WPT_4;Werkstätte und Produktionstechnik
WRKL;WERKSTÄTTENLEITG.
XABS;Kein Langname definiert!
